City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-76.6652,-105.4287,-13.22,91,100,8.52,Unknown,1675898168
1,ribeira grande,33.3056,-38.509,17.75,70,91,4.72,Unknown,1675898170
2,wajima,37.4276,136.6942,2.4,55,99,5.72,JP,1675898171
3,atar,19.0246,-13.6774,23.85,15,100,5.96,MR,1675898172
4,voljevac,43.8894,17.7138,-14.24,98,71,0.94,BA,1675898172
5,vaini,-30.7563,-170.2536,22.61,71,0,5.84,Unknown,1675898173
6,hasaki,26.8748,160.4235,23.09,86,1,7.47,Unknown,1675898174
7,atuona,-4.7692,-131.6708,25.12,79,74,8.74,Unknown,1675898174
8,butaritari,5.1404,163.9477,27.59,82,99,7.47,FM,1675898174
9,tuktoyaktuk,82.7239,-135.6643,-23.03,95,47,6.52,Unknown,1675898175
10,zhenjiang,31.8792,119.3192,6.88,83,100,5.55,CN,1675898176
11,flinders,-38.2774,129.1671,16.49,92,34,6.91,Unknown,1675898176
12,belushya guba,70.241,52.2003,0.81,84,100,10.24,Unknown,1675898177
13,rikitea,-81.5348,-137.2543,-17.18,84,14,2.6,Unknown,1675898177
14,mys shmidta,79.9253,-178.2632,-29.86,99,57,3.67,Unknown,1675898178
15,kapaa,32.6219,-162.1843,13.89,60,40,5.37,Unknown,1675898178
16,eureka,41.9686,-127.5689,9.75,76,67,5.23,Unknown,1675898179
17,nanortalik,49.0486,-40.7458,13.25,95,100,16.73,Unknown,1675898179
18,ushuaia,-84.5572,-73.2695,-15.88,97,100,2.33,Unknown,1675898180
19,kavaratti,9.7445,68.8597,25.58,69,25,1.58,Unknown,1675898182
20,kurilsk,45.4486,146.6265,-6.44,63,100,9.42,RU,1675898182
21,bluff,-76.5284,162.7572,-8.17,69,92,0.98,Unknown,1675898183
22,qaanaaq,84.7855,-74.5143,-24.81,96,100,9.41,Unknown,1675898184
23,bundaberg,-22.5146,153.9216,26.63,77,100,13.72,Unknown,1675898184
24,taolanaro,-60.8033,52.9616,0.62,97,100,16.87,Unknown,1675898186
